ID,VERB,DEFINITION,EXAMPLE,ARG0,FLAG0,ARG1,FLAG1,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG2,FLAG2,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG3,FLAG3,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG4,FLAG4,"NOM, ACC, DAT, ABL, INS, LOC, GEN",,,,,,,,,,,,,,,
TUR10-0739570,takılmak,Karşı cins ile ilişki kurmayı veya arkadaş olmayı istemek,,karşı cinsle arkadaş olan kişi,pag,arkadaş olduğu kişi,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0025740,aldanmak,"Avunmak, oyalanmak",Küçük oğlan oyuncak bir arabayla aldandı.,avunan kişi,pag,avuntunun kaynağı nesne,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0171430,çizmek,"Kişiyle ilgiyi kesmek, bağı koparmak","Ben onu çizdim, artık görüşmüyorun.",bağı koparan kişi,pag,bağı koparılan kişi,com,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0069850,bağlamak,Birini söz veya yazı ile bağlamak; taahhüt etmek; angaje etmek,,bağlayan kişi,pag,bağlanan kişi,com,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0594870,oturmak,Biriyle beraber yaşamak,"O günden beri, enişte beyle oturuyorum.",beraber yaşayan kişi,pag,beraber yaşadığı kişi,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0218290,donanmak,"Gerekli nesneler bir araya getirilip süslenmek, gösterişli duruma getirilmek","Kırk türlü kuru yemişle donanmış masanın ortasına dikilmiş bir ince, ufak mum vardı.",donanan şey,pag,donandığı şey,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0218280,donanmak,ışıklarla bezenmek,Bu gördüğünüz yol şenlik gecesi gibi ardı arası kesilmez sıra sıra otomobillerin fenerleriyle donanırdı.,donanan şey,pag,donanılan ışık,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0218270,donanmak,Yayılıp kaplanmak,Baharda ağaçlar çiçeklerle donandı.,donanan şey,pag,donanılan şey,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0405190,kalmak,Belli bir gelirle geçinmek zorunda bulunmak,"Refika, valide, iki kerime kaldık mı biz iki bin kuruş tekaüt maaşına.",geçinen kişi,pag,geçindiği para,com,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0038460,anmak,Bir armağanla gönlünü almak,Her seyahatinden küçük çocuğu anacak bir hediye ile gelirdi.,gönül alan,pag,hediye,com,nom,gönlü alınan,gol,acc,,,,,,,,,,,,,,,,,,,,,
TUR10-0029350,almak,"Erkek, kadınla evlenmek",O sırada aldığı kadının babasının birçok yardımını görmüştü.,erkek,pag,kadın,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0494750,kurulamak,Bir şeyin üzerindeki ıslaklığı gidermek,"Ayaklarını yıkadı, otelin havlusuyla kuruladı.",kurulayan kişi,pag,kuruladığı şey,com,ins/dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0842240,yavuklanmak,Biriyle nişanlanmak,Dayısının oğluna yavuklanmış.,Nişanlanan kişi,pag,Nişanlanılan kişi,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0578910,nodullamak,Hayvanı üvendire ile dürtmek,,nodullayan kişi,pag,nodulladığı şey,com,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0865110,yüklenmek,"Kendi ağırlığını başka bir şey üzerine vermek, bedeniyle abanmak","Araba durdukça önümdekine, kalktıkça arkamdakine yükleniyorum.",abanan kişi,pag,abandığı şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0814760,varmak,"Acımadan, çekinmeden yapmak",Eli varmak. Dili varmak.,acımadan yapan kişi,pag,acımadan yaptığı şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0003070,acımak,Başkasının acılı durumundan üzüntü duymak,Doktor bacağı kırılan çocuğa acıyor.,acıyan kişi,pag,acınan kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
